"","user","rec 1","rec 2","rec 3","rec 4","rec 5","rec 6","rec 7","rec 8","rec 9","rec 10"
"28","504","oomph.","him","nightwish","rob.zombie","bullet.for.my.valentine","bob.marley","stone.sour","apocalyptica","serj.tankian","placebo"
"29","508","clueso","aphex.twin","keane","the.strokes","radiohead","jason.mraz","bloc.party","the.killers","incubus","feist"
"30","543","korpiklaani","papa.roach","the.prodigy","blind.guardian","my.chemical.romance","eluveitie","eminem","ensiferum","him","nickelback"
"31","584","placebo","green.day","three.days.grace","my.chemical.romance","avril.lavigne","limp.bizkit","queens.of.the.stone.age","him","afi","incubus"
"32","613","queens.of.the.stone.age","die.toten.hosen","red.hot.chili.peppers","goldfrapp","the.hives","farin.urlaub","ramones","massive.attack","nofx","flogging.molly"
"33","626","the.smashing.pumpkins","nouvelle.vague","queens.of.the.stone.age","coldplay","depeche.mode","pearl.jam","jose.gonzalez","portishead","farin.urlaub","the.white.stripes"
"34","642","the.white.stripes","beatsteaks","gorillaz","oasis","queens.of.the.stone.age","placebo","the.streets","rage.against.the.machine","the.chemical.brothers","guano.apes"
"35","644","daft.punk","digitalism","deichkind","mgmt","the.chemical.brothers","the.ting.tings","crystal.castles","a.perfect.circle","abba","ac.dc"
"36","648","johnny.cash","rage.against.the.machine","ac.dc","bob.dylan","die.toten.hosen","the.rolling.stones","led.zeppelin","farin.urlaub","pearl.jam","guns.n.roses"
"37","683","lily.allen","maria.mena","hammerfall","iron.maiden","the.chemical.brothers","blind.guardian","deep.purple","sonata.arctica","apocalyptica","james.morrison"
"38","691","katie.melua","frank.sinatra","alicia.keys","jack.johnson","eels","duffy","lily.allen","amy.macdonald","blur","kate.nash"
"39","715","alanis.morissette","audioslave","norah.jones","the.beatles","black.eyed.peas","elvis.presley","rage.against.the.machine","lenny.kravitz","bob.marley","jack.johnson"
"40","736","the.prodigy","bruce.springsteen","daft.punk","abba","dido","norah.jones","beastie.boys","genesis","duffy","elvis.presley"
"41","792","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air","alanis.morissette","alexisonfire","alicia.keys"
"42","794","justin.timberlake","timbaland","kanye.west","britney.spears","pink","gentleman","kelly.clarkson","leona.lewis","alicia.keys","katy.perry"
"43","830","interpol","beck","belle.and.sebastian","arcade.fire","elliott.smith","nada.surf","the.notwist","stars","yann.tiersen","cat.power"
"44","852","morcheeba","nouvelle.vague","thievery.corporation","feist","damien.rice","jamiroquai","massive.attack","portishead","faithless","jack.johnson"
"45","876","thievery.corporation","the.chemical.brothers","morcheeba","goldfrapp","gorillaz","beastie.boys","portishead","boards.of.canada","scooter","justice"
"46","890","queen","evanescence","farin.urlaub","guano.apes","nickelback","him","eminem","three.days.grace","the.chemical.brothers","sonata.arctica"
"47","906","alanis.morissette","amy.winehouse","the.fray","katie.melua","the.postal.service","jason.mraz","red.hot.chili.peppers","clueso","the.killers","frank.sinatra"
"48","914","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air","alanis.morissette","alexisonfire","alicia.keys"
"49","915","soilwork","parkway.drive","sonic.syndicate","hatebreed","opeth","dimmu.borgir","bring.me.the.horizon","atreyu","disturbed","system.of.a.down"
"50","917","atreyu","parkway.drive","chimaira","serj.tankian","nickelback","slipknot","machine.head","peter.fox","marilyn.manson","all.that.remains"
"51","925","mando.diao","the.clash","the.fratellis","adam.green","the.libertines","the.doors","razorlight","the.strokes","kaiser.chiefs","bob.dylan"
"52","948","alexisonfire","the.used","foo.fighters","rise.against","coldplay","yann.tiersen","queens.of.the.stone.age","the.beatles","a.perfect.circle","the.white.stripes"
"53","951","simple.plan","hoobastank","billy.talent","lostprophets","flyleaf","the.used","enter.shikari","papa.roach","alexisonfire","jimmy.eat.world"
"54","953","the.postal.service","editors","dire.straits","deep.purple","snow.patrol","depeche.mode","r.e.m.","muse","kings.of.leon","modest.mouse"
"55","956","alexisonfire","silverstein","enter.shikari","the.used","soilwork","bring.me.the.horizon","muse","breaking.benjamin","u2","amy.macdonald"
"56","971","mogwai","the.smashing.pumpkins","cat.power","tom.waits","beck","damien.rice","the.notwist","jose.gonzalez","yann.tiersen","the.cure"
"57","972","die.toten.hosen","linkin.park","farin.urlaub","apocalyptica","rage.against.the.machine","schandmaul","manowar","him","scooter","serj.tankian"
"58","975","in.extremo","machine.head","lacuna.coil","volbeat","dimmu.borgir","eluveitie","flogging.molly","soilwork","amon.amarth","apocalyptica"
"59","978","peter.fox","cypress.hill","ac.dc","gorillaz","billy.talent","rage.against.the.machine","foo.fighters","groove.coverage","nine.inch.nails","atb"
"60","1022","yann.tiersen","adam.green","bloc.party","the.killers","the.streets","razorlight","bob.dylan","elliott.smith","the.decemberists","cat.power"
"61","1037","oomph.","in.extremo","schandmaul","lacuna.coil","him","apocalyptica","sonata.arctica","marilyn.manson","blind.guardian","manowar"
"62","1083","led.zeppelin","eric.clapton","deep.purple","metallica","judas.priest","the.rolling.stones","iron.maiden","ac.dc","bob.dylan","elvis.presley"
"63","1117","cypress.hill","feist","seeed","bob.marley","damien.rice","nouvelle.vague","yann.tiersen","jose.gonzalez","belle.and.sebastian","the.decemberists"
"64","1121","air","the.chemical.brothers","beastie.boys","portishead","faithless","jamiroquai","deichkind","justice","atb","nouvelle.vague"
"65","1135","marilyn.manson","system.of.a.down","apocalyptica","flyleaf","schandmaul","oomph.","papa.roach","good.charlotte","die.toten.hosen","green.day"
"66","1144","jimi.hendrix","dire.straits","led.zeppelin","bruce.springsteen","yann.tiersen","depeche.mode","abba","joy.division","genesis","manu.chao"
"67","1174","nirvana","die.toten.hosen","green.day","blink.182","rise.against","limp.bizkit","peter.fox","ac.dc","hoobastank","foo.fighters"
"68","1179","farin.urlaub","serj.tankian","red.hot.chili.peppers","hans.zimmer","genesis","atb","limp.bizkit","volbeat","green.day","evanescence"
"69","1185","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air","alanis.morissette","alexisonfire","alicia.keys"
"70","1201","simple.plan","kanye.west","nickelback","bullet.for.my.valentine","die.toten.hosen","jimmy.eat.world","sum.41","blink.182","audioslave","lenny.kravitz"
"71","1207","queens.of.the.stone.age","metallica","audioslave","incubus","billy.talent","ac.dc","farin.urlaub","guns.n.roses","johnny.cash","limp.bizkit"
"72","1233","limp.bizkit","audioslave","guano.apes","judas.priest","hoobastank","three.days.grace","slayer","the.prodigy","queens.of.the.stone.age","nickelback"
"73","1253","good.charlotte","the.killers","fall.out.boy","razorlight","queens.of.the.stone.age","jimmy.eat.world","the.wombats","flyleaf","oasis","the.strokes"
"74","1259","bloodhound.gang","die.toten.hosen","flogging.molly","nofx","farin.urlaub","good.charlotte","bad.religion","sum.41","nirvana","bob.marley...the.wailers"
"75","1264","death.cab.for.cutie","nada.surf","foo.fighters","the.notwist","beirut","the.shins","the.decemberists","the.postal.service","babyshambles","the.libertines"
"76","1291","sufjan.stevens","mogwai","eels","beck","radiohead","boards.of.canada","the.shins","beirut","cocorosie","thievery.corporation"
"77","1310","digitalism","the.chemical.brothers","jimmy.eat.world","the.wombats","atb","air","simple.plan","crystal.castles","thievery.corporation","beastie.boys"
"78","1311","david.guetta","groove.coverage","atb","madonna","seeed","leona.lewis","nickelback","katy.perry","timbaland","justice"
"79","1327","kanye.west","david.guetta","eminem","massive.attack","madonna","lenny.kravitz","goldfrapp","morcheeba","faithless","cat.power"
"80","1334","yann.tiersen","tom.waits","jamiroquai","elvis.presley","depeche.mode","the.rolling.stones","the.smiths","johnny.cash","bob.dylan","digitalism"
"81","1336","good.charlotte","paramore","die.toten.hosen","fall.out.boy","bloodhound.gang","nickelback","simple.plan","farin.urlaub","blink.182","panic.at.the.disco"
"82","1361","the.pussycat.dolls","katy.perry","christina.aguilera","alicia.keys","leona.lewis","justice","rihanna","gentleman","digitalism","kelly.clarkson"
"83","1376","bob.marley","faithless","goldfrapp","air","alanis.morissette","beastie.boys","manu.chao","morcheeba","deichkind","thievery.corporation"
"84","1381","anti.flag","farin.urlaub","bad.religion","nine.inch.nails","ac.dc","tegan.and.sara","bright.eyes","nofx","marilyn.manson","cypress.hill"
"85","1444","gentleman","justice","clueso","daft.punk","digitalism","david.guetta","seeed","bob.marley","the.chemical.brothers","kanye.west"
"86","1478","massive.attack","aphex.twin","bjork","goldfrapp","morcheeba","radiohead","gorillaz","thievery.corporation","the.prodigy","eels"
"87","1479","kanye.west","david.guetta","gentleman","lenny.kravitz","nirvana","gorillaz","cypress.hill","bob.marley","guano.apes","a.perfect.circle"
"88","1487","lenny.kravitz","nelly.furtado","kelly.clarkson","evanescence","kanye.west","britney.spears","timbaland","eminem","simple.plan","deichkind"
"89","1501","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air","alanis.morissette","alexisonfire","alicia.keys"
"90","1509","subway.to.sally","nightwish","lacuna.coil","hans.zimmer","him","bob.marley...the.wailers","manowar","iron.maiden","serj.tankian","audioslave"
"91","1521","stone.sour","godsmack","seether","trivium","staind","aphex.twin","three.days.grace","rob.zombie","breaking.benjamin","tenacious.d"
"92","1530","aphex.twin","hot.chip","boards.of.canada","beirut","feist","damien.rice","a.perfect.circle","abba","ac.dc","adam.green"
"93","1536","lenny.kravitz","jay.z","rihanna","timbaland","the.pussycat.dolls","maria.mena","nelly.furtado","david.guetta","britney.spears","madonna"
"94","1545","farin.urlaub","bob.marley","rage.against.the.machine","the.offspring","seeed","nickelback","rammstein","bullet.for.my.valentine","green.day","incubus"
"95","1549","all.that.remains","heaven.shall.burn","sonic.syndicate","atreyu","disturbed","stone.sour","metallica","in.flames","soilwork","rob.zombie"
"96","1566","james.blunt","abba","robbie.williams","elvis.presley","black.eyed.peas","queen","jamiroquai","eric.clapton","a.perfect.circle","ac.dc"
"97","1586","the.pussycat.dolls","kelly.clarkson","black.eyed.peas","justin.timberlake","katy.perry","timbaland","duffy","groove.coverage","maria.mena","leona.lewis"
"98","1589","in.extremo","subway.to.sally","lacuna.coil","eluveitie","manowar","korpiklaani","hammerfall","amon.amarth","finntroll","howard.shore"
"99","1601","tegan.and.sara","damien.rice","jose.gonzalez","the.decemberists","tom.waits","sufjan.stevens","stars","cocorosie","the.smiths","arcade.fire"
"100","1606","michael.jackson","queen","eric.clapton","robbie.williams","the.doors","johnny.cash","bob.dylan","tom.waits","pink.floyd","the.rolling.stones"
"101","1611","funeral.for.a.friend","breaking.benjamin","trivium","lostprophets","sum.41","panic.at.the.disco","parkway.drive","stone.sour","soilwork","in.flames"
"102","1624","digitalism","justice","razorlight","the.killers","bloc.party","morcheeba","faithless","moby","the.hives","gorillaz"
"103","1627","seeed","seether","amy.winehouse","godsmack","bob.marley","nickelback","audioslave","snow.patrol","leona.lewis","tori.amos"
"104","1646","abba","bob.marley","johnny.cash","eric.clapton","michael.jackson","robbie.williams","jay.z","a.perfect.circle","ac.dc","adam.green"
"105","1656","equilibrium","dark.tranquillity","korpiklaani","eluveitie","dimmu.borgir","subway.to.sally","in.extremo","kreator","finntroll","children.of.bodom"
"106","1661","bad.religion","sum.41","blink.182","fall.out.boy","dropkick.murphys","farin.urlaub","anti.flag","panic.at.the.disco","rise.against","bloodhound.gang"
"107","1680","anti.flag","bad.religion","atreyu","machine.head","hoobastank","limp.bizkit","hatebreed","sonic.syndicate","as.i.lay.dying","underoath"
"108","1681","jamiroquai","the.chemical.brothers","kaiser.chiefs","bjork","the.white.stripes","deichkind","snow.patrol","crystal.castles","moby","the.kooks"
"109","1688","parkway.drive","all.that.remains","machine.head","hatebreed","soilwork","chimaira","atreyu","killswitch.engage","arch.enemy","children.of.bodom"
"110","1695","godsmack","tenacious.d","rob.zombie","dark.tranquillity","seether","trivium","stone.sour","children.of.bodom","die.apokalyptischen.reiter","amon.amarth"
"111","1718","the.shins","belle.and.sebastian","interpol","david.bowie","the.notwist","the.national","editors","tom.waits","the.postal.service","hot.chip"
"112","1727","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air","alanis.morissette","alexisonfire","alicia.keys"
"113","1728","iron.maiden","judas.priest","slayer","led.zeppelin","guns.n.roses","aerosmith","apocalyptica","hammerfall","volbeat","jimi.hendrix"
"114","1732","aerosmith","black.sabbath","red.hot.chili.peppers","metallica","iron.maiden","the.beatles","bloodhound.gang","motorhead","judas.priest","deep.purple"
"115","1758","eels","arcade.fire","alanis.morissette","james.blunt","kings.of.convenience","snow.patrol","sufjan.stevens","tegan.and.sara","the.notwist","modest.mouse"
"116","1767","subway.to.sally","stone.sour","seether","nickelback","schandmaul","system.of.a.down","die.toten.hosen","slipknot","metallica","nightwish"
"117","1796","razorlight","beatsteaks","kaiser.chiefs","the.wombats","the.killers","the.libertines","adam.green","the.strokes","oasis","babyshambles"
"118","1806","robbie.williams","dido","abba","mika","nelly.furtado","christina.aguilera","u2","faithless","bruce.springsteen","duffy"
"119","1807","the.fratellis","kings.of.leon","the.kooks","the.subways","the.strokes","placebo","blur","coldplay","jimmy.eat.world","nirvana"
"120","1811","motorhead","amon.amarth","ensiferum","korpiklaani","eluveitie","children.of.bodom","ac.dc","volbeat","arch.enemy","kreator"
"121","1830","daft.punk","bjork","pearl.jam","the.chemical.brothers","portishead","damien.rice","tom.waits","jose.gonzalez","crystal.castles","black.sabbath"
"122","1849","bloc.party","kings.of.leon","the.fratellis","jack.johnson","the.postal.service","mando.diao","the.hives","muse","the.wombats","kaiser.chiefs"
"123","1856","korpiklaani","ensiferum","eminem","amon.amarth","blind.guardian","hammerfall","children.of.bodom","in.extremo","limp.bizkit","die.apokalyptischen.reiter"
"124","1900","jay.z","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air","alanis.morissette","alexisonfire"
"125","1934","nirvana","die.toten.hosen","justice","incubus","farin.urlaub","the.offspring","gorillaz","bob.marley","bloodhound.gang","linkin.park"
"126","1941","hot.chip","digitalism","bjork","justice","faithless","daft.punk","goldfrapp","jose.gonzalez","damien.rice","jamiroquai"
"127","1943","the.strokes","kaiser.chiefs","razorlight","the.hives","oasis","incubus","coldplay","the.subways","bloc.party","beatsteaks"
"128","2015","tom.waits","the.cure","the.rolling.stones","aphex.twin","sufjan.stevens","damien.rice","feist","hot.chip","beck","joy.division"
"129","2019","nirvana","subway.to.sally","howard.shore","in.extremo","marilyn.manson","die.toten.hosen","nine.inch.nails","nightwish","sonata.arctica","dream.theater"
"130","2030","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air","alanis.morissette","alexisonfire","alicia.keys"
"131","2044","the.doors","foo.fighters","clueso","muse","nofx","led.zeppelin","audioslave","gentleman","anti.flag","justice"
"132","2067","eluveitie","in.extremo","dimmu.borgir","hammerfall","sonata.arctica","kreator","arch.enemy","apocalyptica","opeth","slayer"
"133","2079","dredg","the.postal.service","the.killers","tori.amos","radiohead","snow.patrol","hot.chip","a.perfect.circle","funeral.for.a.friend","mogwai"
"134","2091","kelly.clarkson","lady.gaga","leona.lewis","beyonce","black.eyed.peas","justin.timberlake","dido","cascada","timbaland","scooter"
"135","2099","adam.green","flogging.molly","nirvana","bad.religion","arctic.monkeys","led.zeppelin","oasis","farin.urlaub","gentleman","the.fratellis"
"136","2102","good.charlotte","fall.out.boy","flyleaf","evanescence","lady.gaga","katy.perry","lostprophets","three.days.grace","panic.at.the.disco","billy.talent"
"137","2150","norah.jones","pearl.jam","james.blunt","dredg","rage.against.the.machine","tenacious.d","alanis.morissette","mika","staind","a.perfect.circle"
"138","2162","katy.perry","christina.aguilera","britney.spears","lady.gaga","nelly.furtado","groove.coverage","leona.lewis","black.eyed.peas","maria.mena","rihanna"
"139","2172","lacuna.coil","black.sabbath","hans.zimmer","kreator","him","sonata.arctica","volbeat","children.of.bodom","eluveitie","opeth"
"140","2174","keane","the.fray","razorlight","bloc.party","travis","kate.nash","jimmy.eat.world","amy.winehouse","the.postal.service","mando.diao"
"141","2182","amon.amarth","lacuna.coil","dimmu.borgir","dark.tranquillity","apocalyptica","manowar","nightwish","children.of.bodom","oomph.","judas.priest"
"142","2186","hans.zimmer","kreator","dire.straits","arch.enemy","motorhead","metallica","queen","black.sabbath","dimmu.borgir","frank.sinatra"
"143","2195","timbaland","faithless","digitalism","the.chemical.brothers","deichkind","rihanna","mika","david.guetta","thievery.corporation","kanye.west"
"144","2201","caliban","as.i.lay.dying","a.perfect.circle","all.that.remains","parkway.drive","machine.head","soilwork","bring.me.the.horizon","trivium","the.smashing.pumpkins"
"145","2236","the.rolling.stones","eric.clapton","the.beatles","porcupine.tree","guns.n.roses","dire.straits","bruce.springsteen","genesis","aerosmith","tom.waits"
"146","2245","the.cure","tom.waits","u2","bob.marley...the.wailers","simple.plan","evanescence","genesis","guns.n.roses","pink.floyd","kelly.clarkson"
"147","2266","nirvana","godsmack","peter.fox","guano.apes","bloodhound.gang","tenacious.d","seether","hans.zimmer","audioslave","ac.dc"
"148","2269","bob.marley...the.wailers","eric.clapton","jimi.hendrix","dire.straits","cypress.hill","gentleman","the.beatles","farin.urlaub","green.day","red.hot.chili.peppers"
"149","2273","staind","godsmack","tori.amos","rob.zombie","marilyn.manson","in.extremo","audioslave","nine.inch.nails","snow.patrol","a.perfect.circle"
"150","2291","three.days.grace","limp.bizkit","system.of.a.down","schandmaul","apocalyptica","evanescence","metallica","hoobastank","nickelback","die.toten.hosen"
"151","2304","marilyn.manson","serj.tankian","papa.roach","metallica","lacuna.coil","my.chemical.romance","disturbed","hoobastank","flyleaf","die.toten.hosen"
"152","2320","modest.mouse","arcade.fire","mogwai","yann.tiersen","the.smiths","tom.waits","bright.eyes","nada.surf","bob.dylan","boards.of.canada"
"153","2360","mgmt","the.subways","beastie.boys","mando.diao","kaiser.chiefs","the.killers","crystal.castles","babyshambles","incubus","the.libertines"
"154","2363","justice","the.wombats","hot.chip","kings.of.leon","lily.allen","the.killers","digitalism","the.subways","death.cab.for.cutie","arctic.monkeys"
"155","2373","queen","alanis.morissette","red.hot.chili.peppers","led.zeppelin","robbie.williams","morcheeba","portishead","tom.waits","porcupine.tree","guns.n.roses"
"156","2379","oomph.","lacuna.coil","die.toten.hosen","ac.dc","system.of.a.down","nirvana","evanescence","serj.tankian","clueso","korpiklaani"
"157","2389","frank.sinatra","feist","norah.jones","jamiroquai","duffy","nouvelle.vague","massive.attack","morcheeba","thievery.corporation","goldfrapp"
"158","2410","ramones","farin.urlaub","guano.apes","audioslave","queens.of.the.stone.age","the.smashing.pumpkins","red.hot.chili.peppers","johnny.cash","adam.green","bad.religion"
"159","2425","hatebreed","heaven.shall.burn","all.that.remains","caliban","underoath","atreyu","the.doors","killswitch.engage","johnny.cash","bob.dylan"
"160","2465","hoobastank","lostprophets","papa.roach","nickelback","billy.talent","simple.plan","good.charlotte","green.day","flyleaf","paramore"
"161","2494","amon.amarth","blind.guardian","slayer","die.apokalyptischen.reiter","hammerfall","children.of.bodom","metallica","deep.purple","dimmu.borgir","dark.tranquillity"
"162","2516","mando.diao","panic.at.the.disco","my.chemical.romance","the.postal.service","editors","blur","beatsteaks","afi","sum.41","the.fratellis"
"163","2579","ensiferum","eluveitie","finntroll","amon.amarth","kreator","hammerfall","dimmu.borgir","subway.to.sally","dark.tranquillity","in.extremo"
"164","2630","jason.mraz","kate.nash","norah.jones","mogwai","sufjan.stevens","the.decemberists","arcade.fire","tom.waits","the.smiths","coldplay"
"165","2652","massive.attack","aphex.twin","a.perfect.circle","bjork","goldfrapp","feist","underoath","morcheeba","kings.of.convenience","funeral.for.a.friend"
"166","2654","nirvana","marilyn.manson","schandmaul","placebo","serj.tankian","die.toten.hosen","limp.bizkit","seeed","in.extremo","r.e.m."
"167","2657","adam.green","the.hives","beatsteaks","queens.of.the.stone.age","mando.diao","foo.fighters","the.killers","eric.clapton","the.streets","the.subways"
"168","2697","die.toten.hosen","oomph.","nickelback","guano.apes","rob.zombie","rage.against.the.machine","serj.tankian","lacuna.coil","disturbed","bloodhound.gang"
"169","2701","cypress.hill","jay.z","justin.timberlake","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air"
"170","2710","farin.urlaub","guano.apes","die.toten.hosen","linkin.park","simple.plan","him","limp.bizkit","serj.tankian","travis","queens.of.the.stone.age"
"171","2761","oomph.","evanescence","marilyn.manson","sonata.arctica","in.extremo","apocalyptica","schandmaul","subway.to.sally","howard.shore","the.cure"
"172","2773","massive.attack","cypress.hill","bjork","aphex.twin","morcheeba","mogwai","nouvelle.vague","the.cure","queens.of.the.stone.age","thievery.corporation"
"173","2784","hoobastank","nickelback","foo.fighters","paramore","arctic.monkeys","the.fratellis","farin.urlaub","oasis","the.hives","papa.roach"
"174","2790","eminem","david.guetta","kanye.west","foo.fighters","afi","staind","alexisonfire","breaking.benjamin","tool","the.used"
"175","2843","manowar","judas.priest","ac.dc","apocalyptica","aphex.twin","motorhead","porcupine.tree","the.doors","hammerfall","johnny.cash"
"176","2864","amy.macdonald","lady.gaga","michael.jackson","u2","james.blunt","christina.aguilera","james.morrison","madonna","gentleman","katie.melua"
"177","2902","the.smashing.pumpkins","aphex.twin","mogwai","deftones","thievery.corporation","bob.marley","cocorosie","bjork","tool","a.perfect.circle"
"178","2912","oomph.","marilyn.manson","him","hammerfall","serj.tankian","metallica","eluveitie","die.apokalyptischen.reiter","korpiklaani","finntroll"
"179","2936","soilwork","hatebreed","papa.roach","parkway.drive","limp.bizkit","godsmack","hoobastank","serj.tankian","sonic.syndicate","seether"
"180","2948","dark.tranquillity","equilibrium","dimmu.borgir","the.wombats","the.fratellis","mando.diao","korpiklaani","razorlight","the.hives","the.kooks"
"181","2955","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air","alanis.morissette","alexisonfire","alicia.keys"
"182","2958","slipknot","ac.dc","nirvana","die.toten.hosen","tenacious.d","slayer","limp.bizkit","as.i.lay.dying","parkway.drive","volbeat"
"183","2963","underoath","alexisonfire","afi","atreyu","fall.out.boy","dropkick.murphys","seether","jimmy.eat.world","my.chemical.romance","gentleman"
"184","2966","damien.rice","the.notwist","bjork","boards.of.canada","portishead","cocorosie","mogwai","the.smashing.pumpkins","cat.power","tom.waits"
"185","2969","katy.perry","lady.gaga","beyonce","pink","nelly.furtado","dido","scooter","atb","kelly.clarkson","david.guetta"
"186","3027","goldfrapp","massive.attack","thievery.corporation","air","seeed","faithless","jamiroquai","portishead","david.guetta","nickelback"
"187","3050","the.prodigy","beastie.boys","justice","deichkind","digitalism","faithless","jay.z","timbaland","justin.timberlake","david.guetta"
"188","3054","katie.melua","amy.macdonald","groove.coverage","jack.johnson","leona.lewis","lady.gaga","faithless","keane","abba","katy.perry"
"189","3055","morcheeba","jamiroquai","goldfrapp","bjork","dredg","jose.gonzalez","aphex.twin","nine.inch.nails","a.perfect.circle","cat.power"
"190","3058","air","morcheeba","keane","snow.patrol","massive.attack","boards.of.canada","tom.waits","james.blunt","travis","bob.marley...the.wailers"
"191","3060","die.apokalyptischen.reiter","children.of.bodom","amon.amarth","eluveitie","dimmu.borgir","korpiklaani","blind.guardian","arch.enemy","kreator","dark.tranquillity"
"192","3062","beirut","beck","bright.eyes","the.shins","beatsteaks","jack.johnson","death.cab.for.cutie","bloc.party","a.perfect.circle","the.wombats"
"193","3066","babyshambles","incubus","the.libertines","norah.jones","jason.mraz","kings.of.leon","clueso","radiohead","the.postal.service","james.blunt"
"194","3076","die.toten.hosen","rage.against.the.machine","guano.apes","hoobastank","bloodhound.gang","incubus","linkin.park","bob.marley","green.day","limp.bizkit"
"195","3083","britney.spears","kelly.clarkson","katy.perry","black.eyed.peas","beyonce","leona.lewis","pink","placebo","eels","christina.aguilera"
"196","3123","oasis","die.toten.hosen","the.offspring","johnny.cash","manu.chao","beatsteaks","crystal.castles","pearl.jam","bob.marley","the.doors"
"197","3153","sonata.arctica","dimmu.borgir","ensiferum","korpiklaani","lacuna.coil","eluveitie","dark.tranquillity","in.flames","arch.enemy","apocalyptica"
"198","3156","amy.winehouse","michael.jackson","alanis.morissette","kanye.west","katie.melua","lenny.kravitz","eminem","frank.sinatra","the.streets","beyonce"
